Resource_:_Confirmation_of_receipt	Trace_Delay	Resource_:_T02_Check_confirmation_of_receipt
26	1	28
2	1	3
2	1	3
2	1	3
2	1	3
2	1	3
2	1	3
2	1	3
2	1	3
5	1	6
2	1	3
33	1	0
5	1	6
20	1	22
11	1	13
18	1	20
7	1	8
11	1	13
1	1	2
20	0	22
33	1	0
2	1	3
2	1	3
2	1	3
33	1	0
2	1	3
2	1	3
2	1	3
1	1	2
2	1	3
4	0	5
5	1	6
2	1	3
2	1	3
33	1	0
2	1	3
2	1	3
1	1	2
33	1	0
8	1	9
33	1	0
33	1	0
21	1	23
2	1	3
11	1	13
21	1	23
33	1	0
2	1	3
2	1	3
2	1	3
12	1	14
20	1	22
2	1	3
12	0	14
33	1	0
14	1	16
33	1	0
33	1	0
33	1	0
33	1	0
2	1	3
2	1	3
2	1	3
5	1	6
33	1	0
19	1	21
2	1	3
2	1	3
33	1	0
2	1	3
8	1	9
2	1	3
5	1	6
2	1	3
18	0	20
33	1	0
33	1	0
12	0	14
5	1	6
21	1	23
2	1	3
2	1	3
2	1	3
2	1	3
2	1	3
2	1	3
33	1	0
18	1	20
8	0	9
7	1	8
18	1	20
2	1	3
2	1	3
2	1	3
2	1	3
2	1	3
2	1	3
5	1	6
8	1	9
2	1	3
5	1	6
5	1	6
2	1	3
1	1	2
1	1	2
2	1	3
1	1	2
2	1	3
2	1	3
2	1	3
2	1	3
11	1	13
4	1	5
2	1	3
11	1	13
8	1	9
0	1	1
0	1	1
7	1	8
1	1	2
18	1	20
8	1	9
0	1	1
33	1	0
8	1	9
33	1	0
14	1	16
0	1	1
33	1	0
8	1	9
10	0	12
3	1	4
18	1	20
0	1	1
19	1	21
5	0	6
3	0	4
1	0	2
19	1	21
5	1	6
2	1	3
33	1	0
5	0	6
5	1	6
3	1	4
2	1	3
2	1	3
4	1	5
8	1	0
2	1	3
8	0	9
14	1	16
14	1	16
5	0	6
30	0	31
21	1	23
14	1	16
8	1	9
12	1	14
14	0	16
14	1	16
5	1	6
10	0	12
3	0	4
18	0	20
18	0	20
18	0	20
18	0	20
11	0	13
11	0	13
11	0	13
11	0	13
11	0	13
11	0	13
18	0	20
18	0	20
33	1	0
18	0	20
16	1	18
14	1	16
32	1	0
4	1	5
14	1	16
12	0	14
11	1	13
11	1	13
0	1	1
4	0	5
4	1	5
4	1	5
4	1	5
20	0	22
3	1	4
12	1	14
11	1	13
5	1	6
11	1	13
18	1	20
5	1	6
6	1	7
20	1	22
10	0	12
10	0	12
10	0	12
10	0	12
10	0	12
10	0	12
1	0	2
6	1	7
5	1	6
24	1	11
24	1	11
24	1	11
24	1	11
24	1	11
24	1	11
4	1	5
4	1	5
4	1	5
5	0	6
16	1	18
16	0	18
21	1	23
16	1	18
1	0	24
7	0	24
10	0	12
7	0	19
10	1	12
3	1	4
33	1	0
9	0	21
33	1	0
9	0	19
33	1	0
9	0	19
9	0	19
9	0	19
33	1	0
33	1	0
9	1	11
1	1	2
9	0	11
33	1	0
9	1	11
9	1	11
10	0	12
9	1	11
31	1	32
3	1	4
33	1	0
33	1	0
33	1	0
33	1	0
33	1	0
9	1	11
33	1	0
33	1	0
9	1	11
9	1	19
17	0	11
6	1	7
6	1	7
9	0	19
9	1	11
9	0	19
3	1	4
9	1	11
4	0	5
13	0	15
0	0	1
0	0	1
1	0	2
4	0	5
0	0	1
0	0	1
6	0	7
4	0	5
0	0	1
7	0	8
3	0	4
0	0	1
0	0	1
9	0	19
