Implementation phase duration person day,Complexity,Priority,Duration person day,Team size
1338,11,18,147,131
1436,12,18,135,139
1257,14,4,219,94
1187,13,1,157,92
1298,12,13,219,126
1405,14,16,166,129
1189,10,10,155,107
1198,10,15,169,119
1026,10,3,157,75
1319,14,9,162,116
1462,12,14,207,141
1597,13,19,201,163
1127,11,1,181,88
1484,12,18,165,154
1231,12,9,179,107
1372,10,18,209,134
1315,12,13,179,133
1115,11,8,181,96
1276,14,1,223,94
1151,11,13,127,113
1384,14,9,237,128
1217,10,15,110,112
1688,14,20,182,166
1382,12,10,184,137
1299,13,4,184,101
1267,11,18,172,141
1224,12,10,168,104
1542,12,18,196,149
1315,12,6,210,131
1531,14,14,185,134
1386,11,18,165,137
1281,11,9,151,134
1324,13,5,195,118
1148,11,12,131,105
1586,14,12,194,157
1321,13,13,168,131
953,11,3,158,77
1368,10,17,209,154
1324,10,8,150,124
1251,11,4,171,108
1576,14,17,152,153
1167,12,7,188,109
1078,12,1,164,88
1558,13,16,183,147
1354,12,16,182,138
1058,10,9,158,88
1349,11,13,142,134
1138,11,6,196,93
1360,12,12,165,148
1176,11,8,142,123
1102,10,15,178,118
1104,11,5,149,98
1352,14,13,164,122
1098,11,3,209,97
1582,13,19,192,148
1554,14,10,156,138
1354,11,19,135,140
1251,12,7,173,99
1310,13,4,197,125
1153,10,7,126,96
1394,12,10,180,135
1347,12,4,198,110
1179,12,5,146,90
1229,10,16,154,113
1360,13,10,189,121
1627,14,13,191,157
1223,12,8,199,106
1199,10,10,195,112
1130,10,5,114,87
1255,11,3,136,107
1609,14,20,151,169
1296,11,16,121,141
1395,13,19,157,144
1283,11,15,196,143
1384,11,16,173,137
1392,12,15,159,148
1307,12,15,223,128
1134,10,16,198,112
1309,12,12,209,114
1160,12,7,157,103
1310,10,16,132,150
1524,14,9,247,146
882,10,2,142,72
1408,13,13,174,129
1385,13,18,157,140
1426,14,11,241,135
1060,10,8,138,85
1317,11,19,150,136
1644,14,14,202,155
1102,11,3,216,99
1301,12,15,153,132
1430,13,16,190,139
1097,10,11,173,98
1317,14,10,164,112
1571,14,14,186,144
1620,14,18,160,146
1191,10,11,131,105
1432,14,2,167,128
1279,12,6,176,109
1184,13,1,160,98
1295,13,3,188,120
972,10,1,207,69
1138,10,5,185,88
1042,11,4,165,81
1159,11,14,217,113
1518,14,12,175,151
1418,14,14,219,126
1203,11,8,138,110
1708,14,20,230,176
1519,14,12,170,143
1101,10,9,197,97
1557,14,7,170,140
1389,12,16,192,149
1523,11,20,197,161
1140,11,6,181,109
1129,10,10,112,92
1405,14,3,215,130
1522,14,11,231,133
1089,10,1,115,90
1316,12,11,193,117
1176,10,14,170,121
1546,14,18,230,138
1313,10,16,157,150
1514,12,19,145,162
1376,14,5,189,100
1339,14,8,184,120
1274,11,6,175,120
1249,11,11,171,108
1202,10,9,178,123
1240,10,16,130,121
1599,14,19,229,146
1290,12,7,161,105
1427,13,19,191,132
1447,14,8,176,138
1592,12,19,197,160
1354,14,9,170,114
1242,12,7,154,102
1612,14,18,165,174
1614,12,20,193,170
1491,12,18,184,164
1438,13,15,227,127
1132,11,1,134,93
1540,14,15,197,145
1440,13,11,221,118
1377,14,3,164,114
1447,12,19,164,134
1285,11,20,201,133
1360,14,3,241,96
1439,14,14,173,141
1261,10,17,144,115
1369,13,10,162,127
1198,10,15,152,109
1405,13,4,206,123
1520,14,9,152,148
1300,10,18,135,131
1159,10,13,167,112
1308,12,7,154,131
1208,12,2,169,115
1445,12,19,198,147
1588,13,20,165,151
1193,11,5,126,97
1586,14,18,249,157
1344,13,8,184,133
1499,14,13,239,156
1365,12,15,190,144
1561,13,17,156,156
1593,14,20,219,175
1435,14,10,235,125
1259,10,18,172,139
1480,14,6,152,117
1212,10,16,139,130
1175,11,6,212,104
1252,12,6,167,91
1271,11,14,140,107
1369,12,19,198,132
1399,11,19,203,149
1122,10,2,189,91
1012,12,2,166,77
1511,13,19,172,170
1039,11,1,204,84
1182,11,11,213,110
1496,14,3,248,130
1351,14,7,190,107
1492,14,12,159,147
1411,12,17,223,151
1465,14,13,189,132
1208,12,3,147,83
1481,13,11,169,137
1693,14,14,212,162
1198,13,1,218,90
1434,11,19,183,146
1289,13,6,194,109
1160,10,15,178,117
1229,12,6,154,102
1234,11,15,125,134
1066,12,1,169,90
1442,14,13,169,141
1209,12,11,149,118
1598,14,11,163,139
1322,11,17,182,118
1448,14,4,201,115
1603,14,9,151,148
1564,14,14,173,153
1220,11,11,160,111
1221,12,1,177,110
1286,10,17,211,139
1282,13,3,174,105
1442,13,13,170,153
1426,13,14,144,127
1250,12,8,212,116
1583,13,19,190,150
1427,11,20,146,166
1346,14,3,173,90
1007,10,1,161,63
1142,10,8,112,117
1143,10,17,186,114
1272,13,1,188,88
1435,12,19,190,147
1620,14,16,252,167
1105,10,11,148,108
1165,12,5,223,85
1224,11,2,121,112
1218,11,9,148,97
1625,14,13,249,157
1216,10,13,186,122
1222,11,2,171,95
1192,12,4,139,90
1201,11,14,213,126
1315,12,18,198,124
906,10,3,148,74
1311,12,15,153,120
958,11,1,128,75
1318,11,7,128,117
1414,14,10,174,116
1457,14,5,239,131
1359,11,10,220,123
1313,11,12,216,120
1399,14,7,195,104
1343,12,13,226,144
1322,12,10,164,136
1026,10,1,187,86
1152,11,5,218,108
1691,14,19,203,172
1424,14,1,208,115
1379,10,15,161,137
1328,12,9,159,110
1283,11,12,171,108
1397,13,6,192,136
1161,10,7,176,96
1038,10,7,125,90
1281,12,17,164,132
1572,14,20,161,168
1276,14,6,248,102
1174,12,10,211,101
1375,10,19,164,144
1205,11,6,171,126
1432,14,17,251,138
1382,10,17,121,149
1149,11,2,148,102
1450,13,18,214,149
1123,10,16,122,117
1295,13,12,227,126
1241,11,7,212,101
1367,12,14,193,130
1198,12,2,231,95
1266,10,14,177,123
1132,10,5,127,108
1529,12,20,171,172
1335,11,14,197,139
1194,13,7,185,98
1366,12,9,203,116
1139,10,2,171,93
1165,11,5,144,94
1028,10,7,145,87
1411,12,14,195,142
1328,14,7,214,117
1371,12,15,202,121
1135,12,10,144,102
1313,13,12,174,120
1075,10,10,129,107
1058,10,7,130,95
1068,10,6,143,80
1374,14,7,166,112
1449,12,19,182,154
1495,14,8,182,140
1266,14,3,206,109
1518,14,9,176,141
1144,11,5,177,83
1267,14,2,251,94
1456,13,13,160,155
1448,12,12,168,130
1224,10,18,145,122
1545,13,15,149,146
1457,14,12,236,142
1155,11,2,167,111
1391,11,18,209,142
1377,14,11,240,113
1186,10,9,112,111
1525,13,15,162,144
1519,14,15,167,145
1475,13,11,209,131
1466,13,15,143,153
1288,11,12,152,139
1378,11,13,207,132
1192,14,1,190,84
1399,14,9,203,125
1127,10,2,137,105
1233,11,18,200,131
1352,14,1,251,96
1417,14,4,242,135
1432,10,17,164,152
1141,13,1,142,90
1568,13,12,205,144
1324,11,19,194,152
1178,11,6,145,86
1417,13,11,166,122
1032,10,6,175,96
1083,12,3,183,81
1286,13,9,158,123
1570,14,14,192,141
1207,10,6,163,114
1410,13,13,218,143
968,10,2,119,75
1545,14,16,238,141
1224,11,4,192,100
1322,12,10,147,132
1408,12,12,142,124
1367,13,10,192,117
1024,10,9,212,91
